Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
200,Mahou Shoujo Madoka★Magica,98,"Award Winning, Drama, Suspense",Shaft,TV,12,24,11-Jan,11-Apr,1216504,8.36
201,Usagi Drop,417,Slice of Life,Production I.G,TV,11,22,11-Jul,11-Sep,474733,8.36
202,Yoru ni Kakeru,4781,Music,,Music,1,4,19-Nov,19-Nov,17321,8.36
203,Bakuman. 2nd Season,629,"Comedy, Drama, Romance",J.C.Staff,TV,25,24,11-Oct,12-Mar,340590,8.35
204,Gintama: Shiroyasha Koutan,2433,"Action, Comedy, Sci-Fi",Sunrise,Special,1,10,8-Sep,8-Sep,66519,8.35
205,Hellsing Ultimate,170,"Action, Horror, Supernatural","Madhouse, Satelight, Graphinica",OVA,10,49,6-Feb,12-Dec,873865,8.35
206,K-On! Movie,695,"Award Winning, Comedy",Kyoto Animation,Movie,1,110,11-Dec,11-Dec,312101,8.35
207,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,135,"Drama, Fantasy, Suspense",White Fox,TV,13,27,20-Jul,20-Sep,1017677,8.35
208,Kiseijuu: Sei no Kakuritsu,42,"Action, Horror, Sci-Fi",Madhouse,TV,24,23,14-Oct,15-Mar,1750061,8.34
209,Neon Genesis Evangelion,45,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Gainax, Tatsunoko Production",TV,26,24,Oct-95,Mar-96,1682807,8.34
210,Psycho-Pass,59,"Action, Sci-Fi, Suspense",Production I.G,TV,22,23,12-Oct,13-Mar,1546264,8.34
211,Spy x Family Part 2,250,"Action, Comedy","Wit Studio, CloverWorks",TV,13,24,22-Oct,22-Dec,702329,8.34
212,Boku no Hero Academia 6th Season,427,Action,Bones,TV,25,23,22-Oct,23-Mar,469599,8.34
213,Bakemonogatari,83,"Mystery, Romance, Supernatural",Shaft,TV,15,25,9-Jul,10-Jun,1339481,8.33
214,Dr. Stone: Ryuusui,1205,"Adventure, Comedy, Sci-Fi",TMS Entertainment,Special,1,54,22-Jul,22-Jul,177986,8.33
215,Given,380,"Boys Love, Drama, Romance",Lerche,TV,11,22,#VALUE!,#VALUE!,,8.33
216,Gotcha!,3860,Fantasy,Bones,Music,1,3,#VALUE!,#VALUE!,,8.33
217,Kidou Senshi Gundam: The Origin,2401,"Action, Sci-Fi",Sunrise,OVA,6,71,15-Feb,18-May,68029,8.33
218,Kingdom 2nd Season,1700,Action,Pierrot,TV,39,25,13-Jun,14-Mar,115407,8.33
219,Uchuu Senkan Yamato 2199,1772,"Action, Drama, Sci-Fi","Xebec, AIC",OVA,26,25,12-May,13-Oct,109983,8.33
220,Versailles no Bara,2021,"Drama, Romance",Tokyo Movie Shinsha,TV,40,24,Oct-79,Sep-80,90398,8.33
221,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",714,"Drama, Fantasy",Kyoto Animation,Special,1,34,18-Jul,18-Jul,302603,8.33
222,Major S6,2575,Sports,SynergySP,TV,25,24,10-Apr,10-Sep,60276,8.33
223,Natsume Yuujinchou: Itsuka Yuki no Hi ni,2239,"Drama, Slice of Life, Supernatural",Brain's Base,OVA,1,23,14-Feb,14-Feb,76401,8.33
224,One Outs,954,Sports,Madhouse,TV,25,23,8-Oct,9-Apr,226114,8.33
225,Kobayashi-san Chi no Maid Dragon S,395,"Fantasy, Slice of Life",Kyoto Animation,TV,12,23,21-Jul,21-Sep,505995,8.32
226,Natsume Yuujinchou Go Specials,3095,"Drama, Slice of Life, Supernatural",Shuka,Special,2,23,17-Mar,17-Apr,42738,8.32
227,Ookami to Koushinryou II,428,"Adventure, Fantasy, Romance","Brain's Base, Marvy Jack",TV,12,24,9-Jul,9-Sep,469580,8.32
228,Romeo no Aoi Sora,2935,"Adventure, Drama, Slice of Life",Nippon Animation,TV,33,23,Jan-95,Dec-95,47115,8.32
229,Tensei shitara Slime Datta Ken 2nd Season Part 2,283,"Action, Adventure, Comedy, Fantasy",8bit,TV,12,23,21-Jul,21-Sep,652985,8.32
230,Fate/stay night: Unlimited Blade Works 2nd Season,194,"Action, Fantasy, Supernatural",ufotable,TV,13,24,15-Apr,15-Jun,808708,8.32
231,Initial D First Stage,620,"Action, Drama","Gallop, Studio Comet",TV,26,25,Apr-98,Dec-98,343120,8.32
232,Katanagatari,362,"Action, Adventure, Romance",White Fox,TV,12,50,10-Jan,10-Dec,539069,8.32
233,Kawaki wo Ameku,3893,,,Music,1,4,19-Jan,19-Jan,27496,8.32
234,Kemono no Souja Erin,2128,"Drama, Fantasy","Production I.G, Trans Arts",TV,50,25,9-Jan,9-Dec,82493,8.32
235,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,63,"Drama, Supernatural",A-1 Pictures,TV,11,22,11-Apr,11-Jun,1533937,8.31
236,Boku dake ga Inai Machi,30,"Mystery, Supernatural, Suspense",A-1 Pictures,TV,12,23,16-Jan,16-Mar,1957605,8.31
237,Evangelion: 2.0 You Can (Not) Advance,392,"Action, Drama, Sci-Fi",Khara,Movie,1,112,9-Jul,9-Jul,507389,8.31
238,Hunter x Hunter: Original Video Animation,1637,"Action, Adventure, Fantasy",Nippon Animation,OVA,8,24,2-Jan,2-Apr,121184,8.31
239,IDOLiSH7 Third Beat! Part 2,5794,Drama,TROYCA,TV,17,24,22-Oct,23-Feb,10566,8.31
240,Natsume Yuujinchou,387,"Drama, Slice of Life, Supernatural",Brain's Base,TV,13,24,8-Jul,8-Sep,511249,8.31
241,NHK ni Youkoso!,255,"Comedy, Drama, Romance",Gonzo,TV,24,24,6-Jul,6-Dec,695211,8.31
242,Sakamichi no Apollon,577,"Drama, Romance","Tezuka Productions, MAPPA",TV,12,22,12-Apr,12-Jun,364061,8.31
243,Shelter (Music),677,Sci-Fi,A-1 Pictures,Music,1,6,16-Oct,16-Oct,316898,8.31
244,Kuroko no Basket 3rd Season,242,Sports,Production I.G,TV,25,24,15-Jan,15-Jun,715614,8.30
245,Tenki no Ko,161,"Award Winning, Drama, Fantasy, Romance",CoMix Wave Films,Movie,1,112,19-Jul,19-Jul,897817,8.30
246,Blue Lock,439,Sports,8bit,TV,24,24,22-Oct,23-Mar,459426,8.30
247,Detective Conan Movie 06: The Phantom of Baker Street,2289,"Adventure, Mystery",TMS Entertainment,Movie,1,107,2-Apr,2-Apr,73487,8.30
248,Diamond no Ace: Second Season,1541,Sports,"Production I.G, Madhouse",TV,51,24,15-Apr,16-Mar,130376,8.30
249,Hibike! Euphonium 2,1017,Drama,Kyoto Animation,TV,13,23,16-Oct,16-Dec,213707,8.30
250,Ashita no Joe,2112,"Drama, Sports",Mushi Production,TV,79,25,Apr-70,Sep-71,83604,8.29
